x,y
1184,757
1185,757
1186,757
1187,757
1188,757
1189,757
1190,757
1191,757
1192,757
1193,757
1194,757
1195,757
1196,757
1197,757
1198,757
1199,757
1200,757
1201,757
1202,757
1203,757
1204,757
1205,757
1206,757
1207,757
1220,757
1221,757
1222,757
1223,757
1224,757
1225,757
1226,757
1227,757
1228,757
1229,757
1230,757
1231,757
1232,757
1233,757
1234,757
1235,757
1236,757
1237,757
1238,757
1239,757
1248,757
1249,757
1250,757
1251,757
1252,757
1253,757
1254,757
1255,757
1256,757
1257,757
1258,757
1259,757
1260,757
1261,757
1262,757
1263,757
1264,757
1265,757
1266,757
1267,757
1268,757
1269,757
1270,757
1271,757
1272,757
1273,757
1274,757
1275,757
1276,757
1277,757
1278,757
1279,757
1280,757
1281,757
1282,757
1283,757
1284,757
1285,757
1286,757
1287,757
1288,757
1289,757
1290,757
1291,757
1292,757
1293,757
1294,757
1295,757
1296,757
1297,757
1298,757
1299,757
1300,757
1301,757
1302,757
1303,757
1304,757
1305,757
1306,757
1307,757
1308,757
1309,757
1310,757
1311,757
1312,757
1313,757
1314,757
1315,757
1316,757
1317,757
1318,757
1319,757
1320,757
1327,757
1328,757
1329,757
1335,757
1336,757
961,759
960,760
961,760
960,761
961,761
960,762
961,762
960,763
961,763
960,764
961,764
960,765
961,765
960,766
961,766
960,767
961,767
960,768
961,768
960,769
961,769
960,770
961,770
960,771
961,771
960,772
961,772
960,773
961,773
960,774
961,774
960,775
961,775
961,776
961,777
961,778
961,779
961,780
961,781
961,782
961,783
961,784
961,785
961,786
961,787
961,788
961,789
961,790
961,791
960,792
960,793
960,794
960,795
960,796
960,797
960,798
960,799
960,800
961,800
960,801
961,801
960,802
961,802
960,803
961,803
960,804
961,804
960,805
961,805
960,806
961,806
960,807
961,807
960,808
961,808
960,809
961,809
960,810
961,810
960,811
961,811
960,812
961,812
960,813
961,813
960,814
961,814
960,815
961,815
960,816
961,816
960,817
961,817
960,818
961,818
960,819
961,819
960,820
961,820
960,821
961,821
960,822
961,822
960,823
961,823
960,824
961,824
960,825
961,825
960,826
961,826
960,827
961,827
960,828
961,828
960,829
961,829
960,830
961,830
960,831
961,831
960,832
961,832
960,833
961,833
960,834
961,834
960,835
961,835
960,836
961,836
960,837
961,837
960,838
961,838
960,839
961,839
960,840
961,840
960,841
961,841
960,842
961,842
960,843
961,843
960,844
961,844
960,845
961,845
960,846
961,846
960,847
961,847
960,848
960,849
960,850
960,851
960,852
960,853
960,854
960,855
960,856
960,857
960,858
960,859
960,860
960,861
960,862
960,863
